OID_,MERGE_SRC,Shape_Leng,Shape_Area,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3,ID,OBJECTID,MERGE_SRC_1,ZONE_CODE,COUNT,AREA,SUM,OBJECTID_1,MERGE_SRC_12,ZONE_CODE_1,COUNT_1,AREA_1,MEDIAN
0,5670,8.339708865520000,0.190230660158000,5670.000000000000000,Albanian Exclusive Economic Zone,2153.000000000000000,200NM,2153.000000000000000,Albania,ALB,Albania,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,19.113000000000000,40.927079999999997,5670.000000000000000,12165.000000000000000,ALB, , ,8.000000000000000,0.000000000000000,0.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,5670,1,5670,1,99.000000000000000,0.171875009714474,63.156633198261261,1,5670,1,107.000000000000000,0.185763899388371,19.327499389648438
1,5673,82.568538578499997,1.300956377210000,5673.000000000000000,Croatian Exclusive Economic Zone,2160.000000000000000,200NM,2160.000000000000000,Croatia,HRV,Croatia,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,15.652180000000000,43.430059999999997,5673.000000000000000,55404.000000000000000,HRV, , ,191.000000000000000,0.000000000000000,0.000000000000000,191.000000000000000,0.000000000000000,0.000000000000000,5673,2,5673,2,641.000000000000000,1.112847285120989,331.228943660855293,2,5673,2,740.000000000000000,1.284722294835463,17.264999389648438
2,5673,0.612948116930000,0.011321393017100,5673.000000000000000,Croatian Exclusive Economic Zone,2160.000000000000000,200NM,2160.000000000000000,Croatia,HRV,Croatia,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,15.652180000000000,43.430059999999997,5673.000000000000000,55404.000000000000000,HRV, , ,191.000000000000000,0.000000000000000,0.000000000000000,191.000000000000000,0.000000000000000,0.000000000000000,5673,2,5673,2,641.000000000000000,1.112847285120989,331.228943660855293,2,5673,2,740.000000000000000,1.284722294835463,17.264999389648438
3,5677,33.136894259999998,0.483103975288000,5677.000000000000000,French Exclusive Economic Zone,17.000000000000000,200NM,17.000000000000000,France,FRA,France,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,-1.966130000000000,46.042119999999997,5677.000000000000000,345240.000000000000000,FRA, , ,250.000000000000000,0.000000000000000,0.000000000000000,250.000000000000000,0.000000000000000,0.000000000000000,5677,3,5677,3,264.000000000000000,0.458333359238597,326.443905651569366,3,5677,3,279.000000000000000,0.484375027377154,16.402500152587891
4,5677,0.036904275351200,0.000075296335510,5677.000000000000000,French Exclusive Economic Zone,17.000000000000000,200NM,17.000000000000000,France,FRA,France,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,-1.966130000000000,46.042119999999997,5677.000000000000000,345240.000000000000000,FRA, , ,250.000000000000000,0.000000000000000,0.000000000000000,250.000000000000000,0.000000000000000,0.000000000000000,5677,3,5677,3,264.000000000000000,0.458333359238597,326.443905651569366,3,5677,3,279.000000000000000,0.484375027377154,16.402500152587891
5,5679,242.567532598000014,1.453505752020000,5679.000000000000000,Greek Exclusive Economic Zone,2099.000000000000000,200NM,2099.000000000000000,Greece,GRC,Greece,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,23.932449999999999,36.507140000000000,5679.000000000000000,482910.000000000000000,GRC, , ,300.000000000000000,0.000000000000000,0.000000000000000,300.000000000000000,0.000000000000000,0.000000000000000,5679,4,5679,4,686.000000000000000,1.190972289536659,595.052656851708889,4,5679,4,790.000000000000000,1.371527855297318,19.362499237060547
6,5682,136.848943396000010,3.795973460790000,5682.000000000000000,Italian Exclusive Economic Zone,2133.000000000000000,200NM,2133.000000000000000,Italy,ITA,Italy,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,12.927860000000001,39.654670000000003,5682.000000000000000,536654.000000000000000,ITA, , ,380.000000000000000,0.000000000000000,0.000000000000000,380.000000000000000,0.000000000000000,0.000000000000000,5682,5,5682,5,2105.000000000000000,3.654514095444120,2652.514301389455795,5,5682,5,2158.000000000000000,3.746527989533687,18.041250228881836
7,5682,0.048607508887600,0.000069175362639,5682.000000000000000,Italian Exclusive Economic Zone,2133.000000000000000,200NM,2133.000000000000000,Italy,ITA,Italy,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,12.927860000000001,39.654670000000003,5682.000000000000000,536654.000000000000000,ITA, , ,380.000000000000000,0.000000000000000,0.000000000000000,380.000000000000000,0.000000000000000,0.000000000000000,5682,5,5682,5,2105.000000000000000,3.654514095444120,2652.514301389455795,5,5682,5,2158.000000000000000,3.746527989533687,18.041250228881836
8,5685,3.023560144230000,0.010864551652700,5685.000000000000000,Maltese Exclusive Economic Zone,2217.000000000000000,200NM,2217.000000000000000,Malta,MLT,Malta,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,15.111210000000000,35.313549999999999,5685.000000000000000,52923.000000000000000,MLT, , ,470.000000000000000,0.000000000000000,0.000000000000000,470.000000000000000,0.000000000000000,0.000000000000000,5685,6,5685,6,5.000000000000000,0.008680556046186,0.690513789653778,6,5685,6,6.000000000000000,0.010416667255423,20.902498245239258
9,5691,4.047689915550000,0.035102644376000,5691.000000000000000,Montenegrin Exclusive economic Zone,17831.000000000000000,200NM,17831.000000000000000,Montenegro,MNE,Montenegro,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,18.680150000000001,41.870229999999999,5691.000000000000000,6383.000000000000000,MNE, , ,499.000000000000000,0.000000000000000,0.000000000000000,499.000000000000000,0.000000000000000,0.000000000000000,5691,7,5691,7,15.000000000000000,0.026041668138557,7.907382339239120,7,5691,7,21.000000000000000,0.036458335393979,18.670000076293945
10,5692,0.915548288745000,0.022683867316600,5692.000000000000000,Slovenian Exclusive Economic Zone,2188.000000000000000,200NM,2188.000000000000000,Slovenia,SVN,Slovenia,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,13.578960000000000,45.562869999999997,5692.000000000000000,214.000000000000000,SVN, , ,705.000000000000000,0.000000000000000,0.000000000000000,705.000000000000000,0.000000000000000,0.000000000000000,5692,8,5692,8,15.000000000000000,0.026041668138557,20.829425573348999,8,5692,8,15.000000000000000,0.026041668138557,16.992500305175781
11,5693,52.600359738700000,0.865474279680000,5693.000000000000000,Spanish Exclusive Economic Zone,2185.000000000000000,200NM,2185.000000000000000,Spain,ESP,Spain,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,-4.158010000000000,41.722009999999997,5693.000000000000000,561763.000000000000000,ESP, , ,724.000000000000000,0.000000000000000,0.000000000000000,724.000000000000000,0.000000000000000,0.000000000000000,5693,9,5693,9,487.000000000000000,0.845486158898473,316.836506754159927,9,5693,9,504.000000000000000,0.875000049455504,19.726248741149902
12,5697,100.684271211999999,1.033442362610000,5697.000000000000000,Turkish Exclusive Economic Zone,2213.000000000000000,200NM,2213.000000000000000,Turkey,TUR,Turkey,0.000000000000000,0.000000000000000, , , ,0.000000000000000,0.000000000000000, , , ,33.220599999999997,40.522239999999996,5697.000000000000000,262233.000000000000000,TUR, , ,792.000000000000000,0.000000000000000,0.000000000000000,792.000000000000000,0.000000000000000,0.000000000000000,5697,10,5697,10,499.000000000000000,0.866319493409319,557.627157360315323,10,5697,10,558.000000000000000,0.968750054754308,19.539999008178711
