"Feature","Gain","Cover","Frequency","N_round","SharkRay"
"cpue",0.296363414289005,0.337096116375792,0.3125,"1","Ray"
"sst_med",0.251159900937225,0.211220189270684,0.25,"1","Ray"
"coastal_pop",0.141534852990653,0.134225976541497,0.125,"1","Ray"
"ShelfArea_km2",0.0729793069614032,0.0571451484995777,0.0625,"1","Ray"
"protein",0.0637467431375727,0.0455419151850917,0.0625,"1","Ray"
"HDI_2019",0.0628254198254208,0.0425121434437283,0.0625,"1","Ray"
"catch",0.0584029419951064,0.116846034730688,0.0625,"1","Ray"
"spue",0.0529874198636141,0.0554124759529422,0.0625,"1","Ray"
"sst_med",0.365193379314225,0.358880285470172,0.357142857142857,"2","Ray"
"cpue",0.350723523187501,0.390649954130618,0.357142857142857,"2","Ray"
"coastal_pop",0.138848091991585,0.115093904544215,0.142857142857143,"2","Ray"
"catch",0.073325683642987,0.0607914262216311,0.0714285714285714,"2","Ray"
"ShelfArea_km2",0.0719093218637029,0.0745844296333635,0.0714285714285714,"2","Ray"
"cpue",0.288124691800207,0.351387531460658,0.307692307692308,"3","Ray"
"sst_med",0.266924683493251,0.269080243026496,0.230769230769231,"3","Ray"
"catch",0.176779076767396,0.131620951796989,0.153846153846154,"3","Ray"
"ShelfArea_km2",0.144655418410951,0.128687726586547,0.153846153846154,"3","Ray"
"protein",0.123516129528194,0.11922354712931,0.153846153846154,"3","Ray"
"sst_med",0.39370396341706,0.39455212697668,0.428571428571429,"4","Ray"
"cpue",0.24996533668617,0.278804920952422,0.214285714285714,"4","Ray"
"ShelfArea_km2",0.157502384367984,0.142219152619645,0.142857142857143,"4","Ray"
"spue",0.12906597117229,0.132916173021357,0.142857142857143,"4","Ray"
"Chla",0.0697623443564957,0.0515076264298951,0.0714285714285714,"4","Ray"
"sst_med",0.311696582903115,0.262607494931533,0.294117647058824,"5","Ray"
"ShelfArea_km2",0.131491948385838,0.0930371901919892,0.117647058823529,"5","Ray"
"catch",0.127273515879315,0.1643311219661,0.117647058823529,"5","Ray"
"cpue",0.108415667137663,0.150769175162682,0.117647058823529,"5","Ray"
"wgi",0.106959795606901,0.102371569543126,0.117647058823529,"5","Ray"
"spue",0.102963613597719,0.113955374193542,0.117647058823529,"5","Ray"
"Chla",0.0602320938664177,0.0529670202429538,0.0588235294117647,"5","Ray"
"protein",0.0509667826230309,0.0599610537680738,0.0588235294117647,"5","Ray"
"sst_med",0.215152713012233,0.19451123093197,0.1875,"6","Ray"
"ShelfArea_km2",0.171366488231572,0.184528089649708,0.1875,"6","Ray"
"cpue",0.139403851756963,0.120468965381342,0.125,"6","Ray"
"effort",0.127475961430264,0.177902907375581,0.125,"6","Ray"
"coastal_pop",0.114151064102655,0.105847810121429,0.125,"6","Ray"
"catch",0.0636593229014055,0.0550848194197049,0.0625,"6","Ray"
"protein",0.0586315433424453,0.0566935430308883,0.0625,"6","Ray"
"HDI_2019",0.055556200565805,0.0459766571603982,0.0625,"6","Ray"
"Chla",0.0546028546566576,0.0589859769289787,0.0625,"6","Ray"
"sst_med",0.40630862623444,0.363776671916835,0.384615384615385,"7","Ray"
"ShelfArea_km2",0.132672924847726,0.171053831416174,0.153846153846154,"7","Ray"
"cpue",0.0988183821790637,0.107283167487799,0.0769230769230769,"7","Ray"
"HDI_2019",0.0789851834284956,0.0487476265097277,0.0769230769230769,"7","Ray"
"catch",0.0761450522872551,0.0666420513514978,0.0769230769230769,"7","Ray"
"protein",0.0707554214424923,0.0628418597187698,0.0769230769230769,"7","Ray"
"Chla",0.0703372686423348,0.0671597803030403,0.0769230769230769,"7","Ray"
"effort",0.0659771409381925,0.112495011296157,0.0769230769230769,"7","Ray"
"sst_med",0.327297220856871,0.316123197265655,0.333333333333333,"8","Ray"
"ShelfArea_km2",0.134079300874537,0.136395885663661,0.133333333333333,"8","Ray"
"wgi",0.126602583236811,0.0898125693094615,0.133333333333333,"8","Ray"
"protein",0.0793070496489782,0.0602342038018298,0.0666666666666667,"8","Ray"
"spue",0.0743510819828155,0.0977344000168879,0.0666666666666667,"8","Ray"
"effort",0.0708488199887142,0.0626364618432744,0.0666666666666667,"8","Ray"
