"Feature","Gain","Cover","Frequency","N_round","SharkRay"
"gdp",0.181126844848839,0.105753553777157,0.16,"1","Shark"
"Chla",0.146900108168093,0.239546317355709,0.16,"1","Shark"
"coastal_pop",0.138534959223492,0.139724805784428,0.16,"1","Shark"
"sst_med",0.129928100371837,0.203367074582592,0.16,"1","Shark"
"protein",0.120661951120395,0.0904684971448205,0.12,"1","Shark"
"HDI_2019",0.11017389593292,0.0681020263120125,0.08,"1","Shark"
"ShelfArea_km2",0.0989787256474608,0.0872535332738187,0.08,"1","Shark"
"catch",0.0524562833247033,0.0156072401267052,0.04,"1","Shark"
"wgi",0.0212391313622605,0.0501769516427574,0.04,"1","Shark"
"sst_med",0.246851498480667,0.142095936457708,0.214285714285714,"2","Shark"
"ShelfArea_km2",0.179586628318757,0.145458491209717,0.142857142857143,"2","Shark"
"Chla",0.15269140964382,0.202783872590274,0.178571428571429,"2","Shark"
"coastal_pop",0.136765864102634,0.138899840949021,0.142857142857143,"2","Shark"
"gdp",0.104170156675449,0.138966928590537,0.142857142857143,"2","Shark"
"wgi",0.101825696446811,0.0648086630982418,0.0714285714285714,"2","Shark"
"HDI_2019",0.0357719202268509,0.0859377098719512,0.0357142857142857,"2","Shark"
"protein",0.0254858437766813,0.0435067764381475,0.0357142857142857,"2","Shark"
"cpue",0.0168509823283307,0.0375417807944019,0.0357142857142857,"2","Shark"
"Chla",0.223538357633784,0.247885961149029,0.176470588235294,"3","Shark"
"sst_med",0.182301339988297,0.147260255368682,0.176470588235294,"3","Shark"
"protein",0.141234026485493,0.156592009503672,0.176470588235294,"3","Shark"
"ShelfArea_km2",0.139267284697371,0.100276621396413,0.117647058823529,"3","Shark"
"coastal_pop",0.116587536142159,0.0967138742381419,0.117647058823529,"3","Shark"
"gdp",0.113069160847809,0.194395589906099,0.176470588235294,"3","Shark"
"wgi",0.0840022942050862,0.0568756884379626,0.0588235294117647,"3","Shark"
"sst_med",0.249078689746518,0.246679616550774,0.285714285714286,"4","Shark"
"coastal_pop",0.157281494166206,0.172895589068133,0.107142857142857,"4","Shark"
"gdp",0.145045119203283,0.0731987249738883,0.142857142857143,"4","Shark"
"wgi",0.134174904263857,0.153373308134652,0.142857142857143,"4","Shark"
"ShelfArea_km2",0.0825895363175688,0.107008194107217,0.0714285714285714,"4","Shark"
"protein",0.0768122452951106,0.0490721231081112,0.0714285714285714,"4","Shark"
"Chla",0.0683596605116287,0.101762481446103,0.0714285714285714,"4","Shark"
"cpue",0.0397584016442028,0.00716358743917738,0.0357142857142857,"4","Shark"
"catch",0.0330286473689859,0.0484673600758697,0.0357142857142857,"4","Shark"
"spue",0.0138713014826394,0.0403790150960742,0.0357142857142857,"4","Shark"
"sst_med",0.244341984284685,0.245798885602931,0.275862068965517,"5","Shark"
"wgi",0.24342179076147,0.200127334356821,0.206896551724138,"5","Shark"
"coastal_pop",0.130401963671435,0.114275968064535,0.137931034482759,"5","Shark"
"ShelfArea_km2",0.0990370576389008,0.095700985202868,0.0689655172413793,"5","Shark"
"Chla",0.0886849566624012,0.125727170928436,0.0689655172413793,"5","Shark"
"gdp",0.0612797066083111,0.0882215185277708,0.0689655172413793,"5","Shark"
"HDI_2019",0.0455665249422173,0.0508482482279919,0.0689655172413793,"5","Shark"
"spue",0.0361725456126754,0.0271255976386017,0.0344827586206897,"5","Shark"
"protein",0.0350797009976409,0.0121510735547939,0.0344827586206897,"5","Shark"
"catch",0.0160137688202633,0.0400232178952507,0.0344827586206897,"5","Shark"
"gdp",0.192197329386892,0.146159923592526,0.192307692307692,"6","Shark"
"sst_med",0.184849452841046,0.187462907678447,0.230769230769231,"6","Shark"
"ShelfArea_km2",0.163280314516523,0.126384688854707,0.115384615384615,"6","Shark"
"Chla",0.132656718012862,0.133590181799677,0.115384615384615,"6","Shark"
"wgi",0.104847613486661,0.0594981991588093,0.0769230769230769,"6","Shark"
"protein",0.0883717868607988,0.164134127069344,0.153846153846154,"6","Shark"
"coastal_pop",0.0811086141982366,0.103992758115883,0.0769230769230769,"6","Shark"
"catch",0.052688170696981,0.0787772137306066,0.0384615384615385,"6","Shark"
"ShelfArea_km2",0.310655719754994,0.18754052265271,0.214285714285714,"7","Shark"
"sst_med",0.199879808549075,0.193878650158694,0.214285714285714,"7","Shark"
"Chla",0.136061605574571,0.222339728028121,0.142857142857143,"7","Shark"
"gdp",0.107057496300811,0.127869588423647,0.142857142857143,"7","Shark"
"wgi",0.0833823741169714,0.0599832555739224,0.0714285714285714,"7","Shark"
"coastal_pop",0.0759209225669447,0.122737846387754,0.107142857142857,"7","Shark"
"protein",0.0526911106698932,0.0679946579573693,0.0714285714285714,"7","Shark"
"cpue",0.0343509624667398,0.0176557508177834,0.0357142857142857,"7","Shark"
"wgi",0.168995672121928,0.118965252265175,0.142857142857143,"8","Shark"
"ShelfArea_km2",0.156489145612456,0.123215940278953,0.142857142857143,"8","Shark"
"sst_med",0.150328618215558,0.144600402032753,0.142857142857143,"8","Shark"
"protein",0.140404761965262,0.0885976370477905,0.142857142857143,"8","Shark"
"coastal_pop",0.124188404961054,0.174528198912369,0.142857142857143,"8","Shark"
"Chla",0.101232414562199,0.18331038106289,0.107142857142857,"8","Shark"
"HDI_2019",0.0572974052254824,0.0737794832251019,0.0714285714285714,"8","Shark"
"gdp",0.0569851385512868,0.079216776404601,0.0714285714285714,"8","Shark"
"catch",0.044078438784774,0.0137859287703659,0.0357142857142857,"8","Shark"
"gdp",0.233625538622262,0.211303584190362,0.230769230769231,"9","Shark"
"ShelfArea_km2",0.232643533119537,0.243284281214046,0.192307692307692,"9","Shark"
"Chla",0.146081709277463,0.148965218656568,0.115384615384615,"9","Shark"
"sst_med",0.141438799073464,0.196286828588521,0.192307692307692,"9","Shark"
"coastal_pop",0.0997561321407058,0.092380569254922,0.115384615384615,"9","Shark"
"protein",0.04937697981371,0.0122563803281987,0.0384615384615385,"9","Shark"
"effort",0.0389971739268041,0.0264842672567963,0.0384615384615385,"9","Shark"
"wgi",0.0341820131478158,0.0225566278586692,0.0384615384615385,"9","Shark"
"cpue",0.023898120878239,0.0464822426519174,0.0384615384615385,"9","Shark"
"sst_med",0.219366565905949,0.273401436098925,0.259259259259259,"10","Shark"
"coastal_pop",0.174664105749625,0.120286892459584,0.148148148148148,"10","Shark"
"Chla",0.119864628650918,0.152728585810203,0.111111111111111,"10","Shark"
"protein",0.0953252738920553,0.0269453468406579,0.0740740740740741,"10","Shark"
"ShelfArea_km2",0.0893488028782992,0.0923342426060033,0.0740740740740741,"10","Shark"
"wgi",0.080845577448335,0.0738820713187888,0.0740740740740741,"10","Shark"
"HDI_2019",0.0762371204313104,0.0193500291492699,0.0740740740740741,"10","Shark"
"gdp",0.0614688802905237,0.138452959324292,0.111111111111111,"10","Shark"
"catch",0.0559984568873115,0.0813147594509345,0.037037037037037,"10","Shark"
"effort",0.0268805878656733,0.0213036769413411,0.037037037037037,"10","Shark"
"Chla",0.203417999886349,0.24434486645598,0.157894736842105,"11","Shark"
"wgi",0.170438405557328,0.152589689304412,0.157894736842105,"11","Shark"
"protein",0.170348850070207,0.145975996102875,0.157894736842105,"11","Shark"
"gdp",0.142933561876974,0.111871081632632,0.157894736842105,"11","Shark"
"sst_med",0.12893480684421,0.18545642260318,0.210526315789474,"11","Shark"
"ShelfArea_km2",0.124568320665613,0.0686559889500393,0.105263157894737,"11","Shark"
"spue",0.059358055099319,0.0911059549508822,0.0526315789473684,"11","Shark"
"sst_med",0.21990680868114,0.136548331572214,0.192307692307692,"12","Shark"
"Chla",0.155186659870432,0.221101257618713,0.153846153846154,"12","Shark"
"gdp",0.147625060726482,0.119288184176732,0.153846153846154,"12","Shark"
"wgi",0.127608134424742,0.128421471102936,0.115384615384615,"12","Shark"
"ShelfArea_km2",0.121108109924899,0.135108400817151,0.115384615384615,"12","Shark"
"coastal_pop",0.101441694995706,0.131499290934078,0.115384615384615,"12","Shark"
"spue",0.0539558966627496,0.0913676284166243,0.0769230769230769,"12","Shark"
"protein",0.0414173394613831,0.0154676213263691,0.0384615384615385,"12","Shark"
"catch",0.0317502952524667,0.0211978140351833,0.0384615384615385,"12","Shark"
"Chla",0.213714878620029,0.220420779538298,0.16,"13","Shark"
"coastal_pop",0.167329688032036,0.112637823453545,0.12,"13","Shark"
"gdp",0.127621532452912,0.106281218419382,0.12,"13","Shark"
"ShelfArea_km2",0.123147869242883,0.108100321693957,0.12,"13","Shark"
"wgi",0.106355281063413,0.110895785327618,0.12,"13","Shark"
"sst_med",0.0952103261807123,0.175000518290829,0.16,"13","Shark"
"cpue",0.0642070559111591,0.0414265232584549,0.08,"13","Shark"
"protein",0.0637562164764908,0.0556825656750984,0.08,"13","Shark"
"catch",0.0386571520203654,0.069554464342817,0.04,"13","Shark"
"Chla",0.212786101118838,0.233418493422259,0.166666666666667,"14","Shark"
"sst_med",0.189725589399112,0.208748316214012,0.208333333333333,"14","Shark"
