"N_round","rmse","SharkRay"
"1",0.089221,"Ray"
"2",0.087176,"Ray"
"3",0.091818,"Ray"
"4",0.085082,"Ray"
"5",0.086631,"Ray"
"6",0.086842,"Ray"
"7",0.090706,"Ray"
"8",0.08886,"Ray"
"9",0.089766,"Ray"
"10",0.089201,"Ray"
"11",0.088261,"Ray"
"12",0.085605,"Ray"
"13",0.086362,"Ray"
"14",0.086737,"Ray"
"15",0.08551,"Ray"
"16",0.091284,"Ray"
"17",0.08648,"Ray"
"18",0.088209,"Ray"
"19",0.091033,"Ray"
"20",0.09024,"Ray"
"21",0.090346,"Ray"
"22",0.088025,"Ray"
"23",0.088701,"Ray"
"24",0.090525,"Ray"
"25",0.087076,"Ray"
"26",0.090048,"Ray"
"27",0.089817,"Ray"
"28",0.093037,"Ray"
"29",0.090014,"Ray"
"30",0.089004,"Ray"
"31",0.088111,"Ray"
"32",0.089821,"Ray"
"33",0.087279,"Ray"
"34",0.086118,"Ray"
"35",0.087585,"Ray"
"36",0.088806,"Ray"
"37",0.087519,"Ray"
"38",0.089167,"Ray"
"39",0.087936,"Ray"
"40",0.086928,"Ray"
"41",0.085158,"Ray"
"42",0.089109,"Ray"
"43",0.090044,"Ray"
"44",0.085694,"Ray"
"45",0.093449,"Ray"
"46",0.089981,"Ray"
"47",0.085737,"Ray"
"48",0.091774,"Ray"
"49",0.087038,"Ray"
"50",0.092383,"Ray"
"51",0.092944,"Ray"
"52",0.092724,"Ray"
"53",0.084629,"Ray"
"54",0.089551,"Ray"
"55",0.084912,"Ray"
"56",0.088057,"Ray"
"57",0.086025,"Ray"
"58",0.091558,"Ray"
"59",0.088119,"Ray"
"60",0.087535,"Ray"
"61",0.084743,"Ray"
"62",0.087073,"Ray"
"63",0.08682,"Ray"
"64",0.091795,"Ray"
"65",0.088434,"Ray"
"66",0.08579,"Ray"
"67",0.089988,"Ray"
"68",0.086815,"Ray"
"69",0.087919,"Ray"
"70",0.085979,"Ray"
"71",0.089717,"Ray"
"72",0.091561,"Ray"
"73",0.089388,"Ray"
"74",0.091511,"Ray"
"75",0.086805,"Ray"
"76",0.088187,"Ray"
"77",0.08966,"Ray"
"78",0.08996,"Ray"
"79",0.084764,"Ray"
"80",0.089158,"Ray"
"81",0.087156,"Ray"
"82",0.088098,"Ray"
"83",0.089096,"Ray"
"84",0.086299,"Ray"
"85",0.089491,"Ray"
"86",0.089375,"Ray"
"87",0.088536,"Ray"
"88",0.085853,"Ray"
"89",0.088794,"Ray"
"90",0.083809,"Ray"
"91",0.086121,"Ray"
"92",0.087508,"Ray"
"93",0.092674,"Ray"
"94",0.088174,"Ray"
"95",0.085895,"Ray"
"96",0.090166,"Ray"
"97",0.087216,"Ray"
"98",0.084571,"Ray"
"99",0.086459,"Ray"
"100",0.088,"Ray"
"101",0.085749,"Ray"
"102",0.089996,"Ray"
"103",0.092394,"Ray"
"104",0.08645,"Ray"
"105",0.091873,"Ray"
"106",0.089473,"Ray"
"107",0.092131,"Ray"
"108",0.089936,"Ray"
"109",0.086319,"Ray"
"110",0.085605,"Ray"
"111",0.090861,"Ray"
"112",0.087634,"Ray"
"113",0.092261,"Ray"
"114",0.088641,"Ray"
"115",0.092509,"Ray"
"116",0.085848,"Ray"
"117",0.088671,"Ray"
"118",0.083419,"Ray"
"119",0.093621,"Ray"
"120",0.088759,"Ray"
"121",0.086372,"Ray"
"122",0.088661,"Ray"
"123",0.089516,"Ray"
"124",0.08623,"Ray"
"125",0.086211,"Ray"
"126",0.086872,"Ray"
"127",0.091617,"Ray"
"128",0.085552,"Ray"
"129",0.089247,"Ray"
"130",0.090832,"Ray"
"131",0.088301,"Ray"
"132",0.090849,"Ray"
"133",0.090219,"Ray"
"134",0.086784,"Ray"
"135",0.087999,"Ray"
"136",0.092855,"Ray"
"137",0.089738,"Ray"
"138",0.0883,"Ray"
"139",0.089706,"Ray"
"140",0.090172,"Ray"
"141",0.090252,"Ray"
"142",0.087358,"Ray"
"143",0.089323,"Ray"
"144",0.087444,"Ray"
"145",0.089537,"Ray"
"146",0.088338,"Ray"
"147",0.088036,"Ray"
"148",0.083531,"Ray"
"149",0.089403,"Ray"
"150",0.086196,"Ray"
"151",0.092416,"Ray"
"152",0.09171,"Ray"
"153",0.083382,"Ray"
"154",0.086877,"Ray"
"155",0.089713,"Ray"
"156",0.085479,"Ray"
"157",0.088525,"Ray"
"158",0.088363,"Ray"
"159",0.089478,"Ray"
"160",0.092089,"Ray"
"161",0.084627,"Ray"
"162",0.090673,"Ray"
"163",0.091064,"Ray"
"164",0.089118,"Ray"
"165",0.09048,"Ray"
"166",0.087029,"Ray"
"167",0.086258,"Ray"
"168",0.086685,"Ray"
"169",0.084414,"Ray"
"170",0.090351,"Ray"
"171",0.087066,"Ray"
"172",0.089801,"Ray"
"173",0.08783,"Ray"
"174",0.086619,"Ray"
"175",0.091048,"Ray"
"176",0.088457,"Ray"
"177",0.087077,"Ray"
"178",0.090389,"Ray"
"179",0.091696,"Ray"
"180",0.090167,"Ray"
"181",0.089776,"Ray"
"182",0.085916,"Ray"
"183",0.092289,"Ray"
"184",0.08695,"Ray"
"185",0.090338,"Ray"
"186",0.08114,"Ray"
"187",0.087981,"Ray"
"188",0.0889,"Ray"
"189",0.090268,"Ray"
"190",0.087244,"Ray"
"191",0.088197,"Ray"
"192",0.08499,"Ray"
"193",0.087581,"Ray"
"194",0.088648,"Ray"
"195",0.084644,"Ray"
"196",0.083286,"Ray"
"197",0.091394,"Ray"
"198",0.088878,"Ray"
"199",0.088542,"Ray"
"200",0.090006,"Ray"
"201",0.088226,"Ray"
"202",0.092508,"Ray"
"203",0.087914,"Ray"
"204",0.092336,"Ray"
"205",0.092468,"Ray"
"206",0.085771,"Ray"
"207",0.090673,"Ray"
"208",0.086692,"Ray"
"209",0.087515,"Ray"
"210",0.087221,"Ray"
"211",0.087393,"Ray"
"212",0.086906,"Ray"
"213",0.088812,"Ray"
"214",0.091094,"Ray"
"215",0.086938,"Ray"
"216",0.092555,"Ray"
"217",0.090435,"Ray"
"218",0.086878,"Ray"
"219",0.090542,"Ray"
"220",0.088118,"Ray"
"221",0.089636,"Ray"
"222",0.090719,"Ray"
"223",0.087448,"Ray"
"224",0.085901,"Ray"
"225",0.088058,"Ray"
"226",0.087014,"Ray"
"227",0.085911,"Ray"
"228",0.088702,"Ray"
"229",0.09037,"Ray"
"230",0.091032,"Ray"
"231",0.08992,"Ray"
"232",0.088737,"Ray"
"233",0.085388,"Ray"
"234",0.090337,"Ray"
"235",0.087354,"Ray"
"236",0.087781,"Ray"
"237",0.090044,"Ray"
"238",0.089017,"Ray"
"239",0.087854,"Ray"
"240",0.085298,"Ray"
"241",0.089318,"Ray"
"242",0.089842,"Ray"
"243",0.089579,"Ray"
"244",0.092334,"Ray"
"245",0.088087,"Ray"
"246",0.090543,"Ray"
"247",0.092184,"Ray"
"248",0.090569,"Ray"
"249",0.089171,"Ray"
"250",0.087595,"Ray"
"251",0.0889,"Ray"
"252",0.087149,"Ray"
"253",0.083297,"Ray"
"254",0.088796,"Ray"
"255",0.090548,"Ray"
"256",0.089756,"Ray"
"257",0.086576,"Ray"
"258",0.089261,"Ray"
"259",0.09006,"Ray"
"260",0.088139,"Ray"
"261",0.088228,"Ray"
"262",0.085942,"Ray"
"263",0.08154,"Ray"
"264",0.087586,"Ray"
"265",0.089764,"Ray"
"266",0.08509,"Ray"
"267",0.087479,"Ray"
"268",0.082329,"Ray"
"269",0.085698,"Ray"
"270",0.091017,"Ray"
"271",0.09212,"Ray"
"272",0.090658,"Ray"
"273",0.085783,"Ray"
"274",0.08774,"Ray"
"275",0.091029,"Ray"
"276",0.086034,"Ray"
"277",0.088935,"Ray"
"278",0.089199,"Ray"
"279",0.085759,"Ray"
"280",0.090722,"Ray"
"281",0.086561,"Ray"
"282",0.089205,"Ray"
"283",0.087973,"Ray"
"284",0.089612,"Ray"
"285",0.08994,"Ray"
"286",0.088749,"Ray"
"287",0.087503,"Ray"
"288",0.088098,"Ray"
"289",0.084417,"Ray"
"290",0.086698,"Ray"
"291",0.090866,"Ray"
"292",0.090178,"Ray"
"293",0.086553,"Ray"
"294",0.091509,"Ray"
"295",0.08725,"Ray"
"296",0.088651,"Ray"
"297",0.085675,"Ray"
"298",0.090554,"Ray"
"299",0.091104,"Ray"
"300",0.087384,"Ray"
"301",0.09124,"Ray"
"302",0.089133,"Ray"
"303",0.087524,"Ray"
"304",0.087674,"Ray"
"305",0.090109,"Ray"
"306",0.08813,"Ray"
"307",0.086881,"Ray"
"308",0.08472,"Ray"
"309",0.081725,"Ray"
"310",0.085789,"Ray"
"311",0.085037,"Ray"
"312",0.087717,"Ray"
"313",0.087954,"Ray"
"314",0.091354,"Ray"
"315",0.086737,"Ray"
"316",0.089864,"Ray"
"317",0.088767,"Ray"
"318",0.090662,"Ray"
"319",0.087492,"Ray"
"320",0.0873,"Ray"
"321",0.087499,"Ray"
"322",0.088215,"Ray"
"323",0.090364,"Ray"
"324",0.091256,"Ray"
"325",0.08714,"Ray"
"326",0.089979,"Ray"
"327",0.092104,"Ray"
"328",0.087676,"Ray"
"329",0.089484,"Ray"
"330",0.087612,"Ray"
"331",0.089409,"Ray"
"332",0.087909,"Ray"
"333",0.087775,"Ray"
"334",0.087588,"Ray"
"335",0.088149,"Ray"
"336",0.087743,"Ray"
"337",0.088361,"Ray"
"338",0.089051,"Ray"
"339",0.086035,"Ray"
"340",0.08855,"Ray"
"341",0.089352,"Ray"
"342",0.091526,"Ray"
"343",0.08575,"Ray"
"344",0.085674,"Ray"
"345",0.08655,"Ray"
"346",0.090556,"Ray"
"347",0.088639,"Ray"
"348",0.084147,"Ray"
"349",0.084909,"Ray"
"350",0.087902,"Ray"
"351",0.085286,"Ray"
"352",0.085031,"Ray"
"353",0.092742,"Ray"
"354",0.089899,"Ray"
"355",0.087766,"Ray"
"356",0.08945,"Ray"
"357",0.087784,"Ray"
"358",0.084345,"Ray"
"359",0.090608,"Ray"
"360",0.090838,"Ray"
"361",0.091721,"Ray"
"362",0.088907,"Ray"
"363",0.091718,"Ray"
"364",0.088625,"Ray"
"365",0.089115,"Ray"
"366",0.088574,"Ray"
"367",0.088555,"Ray"
"368",0.090921,"Ray"
"369",0.083752,"Ray"
"370",0.091044,"Ray"
"371",0.087604,"Ray"
"372",0.08427,"Ray"
"373",0.090982,"Ray"
"374",0.090135,"Ray"
"375",0.091301,"Ray"
"376",0.091655,"Ray"
"377",0.091307,"Ray"
"378",0.084415,"Ray"
"379",0.085201,"Ray"
"380",0.088247,"Ray"
"381",0.090058,"Ray"
"382",0.090222,"Ray"
"383",0.08999,"Ray"
"384",0.092197,"Ray"
"385",0.091094,"Ray"
"386",0.089969,"Ray"
"387",0.089215,"Ray"
"388",0.086029,"Ray"
"389",0.088249,"Ray"
"390",0.083509,"Ray"
"391",0.094632,"Ray"
"392",0.090653,"Ray"
"393",0.088305,"Ray"
"394",0.089924,"Ray"
"395",0.091302,"Ray"
"396",0.087248,"Ray"
"397",0.092331,"Ray"
"398",0.090841,"Ray"
"399",0.088346,"Ray"
"400",0.091726,"Ray"
"401",0.088304,"Ray"
"402",0.088175,"Ray"
"403",0.088277,"Ray"
"404",0.09108,"Ray"
"405",0.088127,"Ray"
"406",0.087489,"Ray"
"407",0.089298,"Ray"
"408",0.09154,"Ray"
"409",0.088984,"Ray"
"410",0.091194,"Ray"
"411",0.091677,"Ray"
"412",0.086883,"Ray"
"413",0.083855,"Ray"
"414",0.086026,"Ray"
"415",0.088052,"Ray"
"416",0.084469,"Ray"
"417",0.087439,"Ray"
"418",0.088132,"Ray"
"419",0.090376,"Ray"
"420",0.084597,"Ray"
"421",0.089671,"Ray"
"422",0.085207,"Ray"
"423",0.092248,"Ray"
"424",0.087239,"Ray"
"425",0.091308,"Ray"
"426",0.091206,"Ray"
"427",0.09095,"Ray"
"428",0.090209,"Ray"
"429",0.088521,"Ray"
"430",0.090457,"Ray"
"431",0.092444,"Ray"
"432",0.087762,"Ray"
"433",0.092534,"Ray"
"434",0.088158,"Ray"
"435",0.088165,"Ray"
"436",0.09037,"Ray"
"437",0.086678,"Ray"
"438",0.088723,"Ray"
"439",0.088692,"Ray"
"440",0.088916,"Ray"
"441",0.093333,"Ray"
"442",0.086292,"Ray"
"443",0.094192,"Ray"
"444",0.088642,"Ray"
"445",0.091111,"Ray"
"446",0.088103,"Ray"
"447",0.086505,"Ray"
"448",0.089166,"Ray"
"449",0.089049,"Ray"
"450",0.086395,"Ray"
"451",0.087927,"Ray"
"452",0.083631,"Ray"
"453",0.092432,"Ray"
"454",0.092426,"Ray"
"455",0.086685,"Ray"
"456",0.086503,"Ray"
"457",0.089519,"Ray"
"458",0.092338,"Ray"
"459",0.089986,"Ray"
"460",0.091234,"Ray"
"461",0.089317,"Ray"
"462",0.090777,"Ray"
"463",0.092158,"Ray"
"464",0.086423,"Ray"
"465",0.089726,"Ray"
"466",0.084806,"Ray"
"467",0.085859,"Ray"
"468",0.085505,"Ray"
"469",0.087988,"Ray"
"470",0.087862,"Ray"
"471",0.089382,"Ray"
"472",0.092229,"Ray"
"473",0.087983,"Ray"
"474",0.094427,"Ray"
"475",0.090364,"Ray"
"476",0.084737,"Ray"
"477",0.088318,"Ray"
"478",0.091913,"Ray"
"479",0.092237,"Ray"
"480",0.088945,"Ray"
"481",0.091752,"Ray"
"482",0.091448,"Ray"
"483",0.090988,"Ray"
"484",0.088767,"Ray"
"485",0.089836,"Ray"
"486",0.085055,"Ray"
"487",0.087061,"Ray"
"488",0.087889,"Ray"
"489",0.086499,"Ray"
"490",0.090908,"Ray"
"491",0.086485,"Ray"
"492",0.088025,"Ray"
"493",0.084567,"Ray"
"494",0.089553,"Ray"
"495",0.089105,"Ray"
"496",0.090729,"Ray"
"497",0.085686,"Ray"
"498",0.088583,"Ray"
"499",0.088656,"Ray"
"500",0.08979,"Ray"
"501",0.088251,"Ray"
"502",0.092613,"Ray"
"503",0.086674,"Ray"
"504",0.087002,"Ray"
"505",0.086733,"Ray"
"506",0.08698,"Ray"
"507",0.090298,"Ray"
"508",0.08806,"Ray"
"509",0.085574,"Ray"
"510",0.086821,"Ray"
"511",0.089988,"Ray"
"512",0.082479,"Ray"
"513",0.085445,"Ray"
"514",0.089581,"Ray"
"515",0.089464,"Ray"
"516",0.0881,"Ray"
"517",0.091493,"Ray"
"518",0.090211,"Ray"
"519",0.085342,"Ray"
"520",0.08613,"Ray"
"521",0.090285,"Ray"
"522",0.091254,"Ray"
"523",0.091784,"Ray"
"524",0.089026,"Ray"
"525",0.091265,"Ray"
"526",0.088131,"Ray"
"527",0.089715,"Ray"
"528",0.086622,"Ray"
"529",0.088236,"Ray"
"530",0.088444,"Ray"
"531",0.087546,"Ray"
"532",0.089327,"Ray"
"533",0.086903,"Ray"
"534",0.084659,"Ray"
"535",0.087939,"Ray"
"536",0.088123,"Ray"
"537",0.089135,"Ray"
"538",0.08898,"Ray"
"539",0.091607,"Ray"
"540",0.090003,"Ray"
"541",0.084796,"Ray"
"542",0.088942,"Ray"
"543",0.087914,"Ray"
"544",0.089258,"Ray"
"545",0.088669,"Ray"
"546",0.087641,"Ray"
"547",0.087089,"Ray"
"548",0.091249,"Ray"
"549",0.083892,"Ray"
"550",0.089773,"Ray"
"551",0.086041,"Ray"
"552",0.08727,"Ray"
"553",0.090674,"Ray"
"554",0.08819,"Ray"
"555",0.090071,"Ray"
"556",0.089912,"Ray"
"557",0.09136,"Ray"
"558",0.09121,"Ray"
"559",0.087572,"Ray"
"560",0.085842,"Ray"
"561",0.090692,"Ray"
"562",0.09137,"Ray"
"563",0.086661,"Ray"
"564",0.08333,"Ray"
"565",0.091405,"Ray"
"566",0.089201,"Ray"
"567",0.087638,"Ray"
"568",0.088829,"Ray"
"569",0.089547,"Ray"
"570",0.092672,"Ray"
"571",0.092642,"Ray"
"572",0.088052,"Ray"
"573",0.089381,"Ray"
"574",0.088298,"Ray"
"575",0.090618,"Ray"
"576",0.087951,"Ray"
"577",0.093452,"Ray"
"578",0.087838,"Ray"
"579",0.09154,"Ray"
"580",0.087926,"Ray"
"581",0.092693,"Ray"
"582",0.093744,"Ray"
"583",0.08861,"Ray"
"584",0.086348,"Ray"
"585",0.091021,"Ray"
"586",0.090739,"Ray"
"587",0.08215,"Ray"
"588",0.088934,"Ray"
"589",0.089288,"Ray"
"590",0.087324,"Ray"
"591",0.091345,"Ray"
"592",0.09099,"Ray"
"593",0.091265,"Ray"
"594",0.086394,"Ray"
"595",0.086632,"Ray"
"596",0.085885,"Ray"
"597",0.089889,"Ray"
"598",0.08951,"Ray"
"599",0.082372,"Ray"
"600",0.088731,"Ray"
"601",0.093636,"Ray"
"602",0.086302,"Ray"
"603",0.089085,"Ray"
"604",0.09013,"Ray"
"605",0.085581,"Ray"
"606",0.090778,"Ray"
"607",0.089334,"Ray"
"608",0.091066,"Ray"
"609",0.090579,"Ray"
"610",0.088364,"Ray"
"611",0.085938,"Ray"
"612",0.087836,"Ray"
"613",0.08321,"Ray"
"614",0.08707,"Ray"
"615",0.088398,"Ray"
"616",0.090652,"Ray"
"617",0.092185,"Ray"
"618",0.089479,"Ray"
"619",0.085997,"Ray"
"620",0.091861,"Ray"
"621",0.089514,"Ray"
"622",0.089062,"Ray"
"623",0.087346,"Ray"
"624",0.087384,"Ray"
"625",0.090892,"Ray"
"626",0.085197,"Ray"
"627",0.090681,"Ray"
"628",0.087709,"Ray"
"629",0.086637,"Ray"
"630",0.087861,"Ray"
"631",0.085738,"Ray"
"632",0.088359,"Ray"
"633",0.089214,"Ray"
"634",0.090399,"Ray"
"635",0.091845,"Ray"
"636",0.085681,"Ray"
"637",0.085828,"Ray"
"638",0.087848,"Ray"
"639",0.088515,"Ray"
"640",0.085122,"Ray"
"641",0.088536,"Ray"
"642",0.086343,"Ray"
"643",0.087621,"Ray"
"644",0.087738,"Ray"
"645",0.088928,"Ray"
"646",0.08831,"Ray"
"647",0.086208,"Ray"
"648",0.091574,"Ray"
"649",0.086981,"Ray"
"650",0.09155,"Ray"
"651",0.090724,"Ray"
"652",0.090523,"Ray"
"653",0.087522,"Ray"
"654",0.088499,"Ray"
"655",0.092123,"Ray"
"656",0.092185,"Ray"
"657",0.090105,"Ray"
"658",0.085626,"Ray"
"659",0.090322,"Ray"
"660",0.090255,"Ray"
"661",0.089537,"Ray"
"662",0.090296,"Ray"
"663",0.088125,"Ray"
"664",0.089744,"Ray"
"665",0.088586,"Ray"
"666",0.088959,"Ray"
"667",0.091502,"Ray"
"668",0.088354,"Ray"
"669",0.091326,"Ray"
"670",0.085054,"Ray"
"671",0.086226,"Ray"
"672",0.089421,"Ray"
"673",0.087982,"Ray"
"674",0.086326,"Ray"
"675",0.091093,"Ray"
"676",0.088248,"Ray"
"677",0.084817,"Ray"
"678",0.089262,"Ray"
"679",0.088158,"Ray"
"680",0.087766,"Ray"
