"N_round","rmse","SharkRay"
"1",0.094025,"Shark"
"2",0.09002,"Shark"
"3",0.088374,"Shark"
"4",0.088714,"Shark"
"5",0.082965,"Shark"
"6",0.091615,"Shark"
"7",0.08841,"Shark"
"8",0.093677,"Shark"
"9",0.091697,"Shark"
"10",0.085201,"Shark"
"11",0.079113,"Shark"
"12",0.09646,"Shark"
"13",0.091972,"Shark"
"14",0.09517,"Shark"
"15",0.088197,"Shark"
"16",0.08744,"Shark"
"17",0.083974,"Shark"
"18",0.083657,"Shark"
"19",0.087592,"Shark"
"20",0.084054,"Shark"
"21",0.091698,"Shark"
"22",0.088636,"Shark"
"23",0.092276,"Shark"
"24",0.085601,"Shark"
"25",0.086179,"Shark"
"26",0.089763,"Shark"
"27",0.08309,"Shark"
"28",0.093459,"Shark"
"29",0.092119,"Shark"
"30",0.087422,"Shark"
"31",0.092539,"Shark"
"32",0.088832,"Shark"
"33",0.094963,"Shark"
"34",0.085588,"Shark"
"35",0.084374,"Shark"
"36",0.078457,"Shark"
"37",0.086429,"Shark"
"38",0.093066,"Shark"
"39",0.092325,"Shark"
"40",0.074069,"Shark"
"41",0.09078,"Shark"
"42",0.092719,"Shark"
"43",0.091356,"Shark"
"44",0.093552,"Shark"
"45",0.088056,"Shark"
"46",0.09548,"Shark"
"47",0.084827,"Shark"
"48",0.090556,"Shark"
"49",0.091352,"Shark"
"50",0.089401,"Shark"
"51",0.090554,"Shark"
"52",0.088728,"Shark"
"53",0.080592,"Shark"
"54",0.091487,"Shark"
"55",0.090455,"Shark"
"56",0.087086,"Shark"
"57",0.095174,"Shark"
"58",0.090819,"Shark"
"59",0.095026,"Shark"
"60",0.087733,"Shark"
"61",0.088512,"Shark"
"62",0.075224,"Shark"
"63",0.094022,"Shark"
"64",0.084181,"Shark"
"65",0.086339,"Shark"
"66",0.093306,"Shark"
"67",0.090601,"Shark"
"68",0.081381,"Shark"
"69",0.093679,"Shark"
"70",0.09286,"Shark"
"71",0.087839,"Shark"
"72",0.089708,"Shark"
"73",0.086545,"Shark"
"74",0.087502,"Shark"
"75",0.084526,"Shark"
"76",0.084369,"Shark"
"77",0.085356,"Shark"
"78",0.090105,"Shark"
"79",0.084823,"Shark"
"80",0.082933,"Shark"
"81",0.09288,"Shark"
"82",0.082663,"Shark"
"83",0.087973,"Shark"
"84",0.085749,"Shark"
"85",0.08565,"Shark"
"86",0.087032,"Shark"
"87",0.088569,"Shark"
"88",0.085359,"Shark"
"89",0.097956,"Shark"
"90",0.087731,"Shark"
"91",0.088944,"Shark"
"92",0.087297,"Shark"
"93",0.086694,"Shark"
"94",0.092323,"Shark"
"95",0.08749,"Shark"
"96",0.09004,"Shark"
"97",0.095057,"Shark"
"98",0.086346,"Shark"
"99",0.082133,"Shark"
"100",0.083494,"Shark"
"101",0.083455,"Shark"
"102",0.093581,"Shark"
"103",0.088177,"Shark"
"104",0.08935,"Shark"
"105",0.087159,"Shark"
"106",0.08162,"Shark"
"107",0.089678,"Shark"
"108",0.087445,"Shark"
"109",0.093695,"Shark"
"110",0.092761,"Shark"
"111",0.083825,"Shark"
"112",0.078399,"Shark"
"113",0.091355,"Shark"
"114",0.085787,"Shark"
"115",0.090459,"Shark"
"116",0.09235,"Shark"
"117",0.091584,"Shark"
"118",0.09114,"Shark"
"119",0.084114,"Shark"
"120",0.09011,"Shark"
"121",0.094311,"Shark"
"122",0.087606,"Shark"
"123",0.088415,"Shark"
"124",0.093233,"Shark"
"125",0.085091,"Shark"
"126",0.08757,"Shark"
"127",0.086753,"Shark"
"128",0.098682,"Shark"
"129",0.084424,"Shark"
"130",0.079166,"Shark"
"131",0.089084,"Shark"
"132",0.094384,"Shark"
"133",0.095128,"Shark"
"134",0.083861,"Shark"
"135",0.091024,"Shark"
"136",0.091798,"Shark"
"137",0.093661,"Shark"
"138",0.088785,"Shark"
"139",0.091428,"Shark"
"140",0.08602,"Shark"
"141",0.083521,"Shark"
"142",0.077959,"Shark"
"143",0.095865,"Shark"
"144",0.086788,"Shark"
"145",0.091071,"Shark"
"146",0.079512,"Shark"
"147",0.077843,"Shark"
"148",0.082182,"Shark"
"149",0.091593,"Shark"
"150",0.089685,"Shark"
"151",0.093349,"Shark"
"152",0.091028,"Shark"
"153",0.091896,"Shark"
"154",0.087827,"Shark"
"155",0.083775,"Shark"
"156",0.08849,"Shark"
"157",0.086431,"Shark"
"158",0.082908,"Shark"
"159",0.086011,"Shark"
"160",0.08754,"Shark"
"161",0.080194,"Shark"
"162",0.091012,"Shark"
"163",0.088086,"Shark"
"164",0.084789,"Shark"
"165",0.092695,"Shark"
"166",0.086886,"Shark"
"167",0.085847,"Shark"
"168",0.090232,"Shark"
"169",0.094729,"Shark"
"170",0.084639,"Shark"
"171",0.092911,"Shark"
"172",0.094006,"Shark"
"173",0.092291,"Shark"
"174",0.098768,"Shark"
"175",0.093265,"Shark"
"176",0.085505,"Shark"
"177",0.082985,"Shark"
"178",0.088998,"Shark"
"179",0.077743,"Shark"
"180",0.093712,"Shark"
"181",0.086728,"Shark"
"182",0.081538,"Shark"
"183",0.092944,"Shark"
"184",0.08319,"Shark"
"185",0.087366,"Shark"
"186",0.091244,"Shark"
"187",0.085214,"Shark"
"188",0.088812,"Shark"
"189",0.096161,"Shark"
"190",0.089944,"Shark"
"191",0.080865,"Shark"
"192",0.09218,"Shark"
"193",0.085748,"Shark"
"194",0.093175,"Shark"
"195",0.088906,"Shark"
"196",0.083259,"Shark"
"197",0.092891,"Shark"
"198",0.089387,"Shark"
"199",0.091964,"Shark"
"200",0.089594,"Shark"
"201",0.087153,"Shark"
"202",0.090722,"Shark"
"203",0.097859,"Shark"
"204",0.083555,"Shark"
"205",0.089144,"Shark"
"206",0.090534,"Shark"
"207",0.096811,"Shark"
"208",0.087543,"Shark"
"209",0.082655,"Shark"
"210",0.085904,"Shark"
"211",0.099519,"Shark"
"212",0.088647,"Shark"
"213",0.096916,"Shark"
"214",0.089187,"Shark"
"215",0.081892,"Shark"
"216",0.0922,"Shark"
"217",0.086284,"Shark"
"218",0.090549,"Shark"
"219",0.087566,"Shark"
"220",0.086551,"Shark"
"221",0.098876,"Shark"
"222",0.083164,"Shark"
"223",0.080876,"Shark"
"224",0.091631,"Shark"
"225",0.085838,"Shark"
"226",0.085442,"Shark"
"227",0.092991,"Shark"
"228",0.091568,"Shark"
"229",0.092734,"Shark"
"230",0.088522,"Shark"
"231",0.091459,"Shark"
"232",0.083293,"Shark"
"233",0.086924,"Shark"
"234",0.084419,"Shark"
"235",0.089792,"Shark"
"236",0.088618,"Shark"
"237",0.096441,"Shark"
"238",0.089624,"Shark"
"239",0.086144,"Shark"
"240",0.089754,"Shark"
"241",0.09511,"Shark"
"242",0.088713,"Shark"
"243",0.093516,"Shark"
"244",0.082821,"Shark"
"245",0.086469,"Shark"
"246",0.093917,"Shark"
"247",0.088361,"Shark"
"248",0.088135,"Shark"
"249",0.089963,"Shark"
"250",0.089384,"Shark"
"251",0.088124,"Shark"
"252",0.092408,"Shark"
"253",0.088207,"Shark"
"254",0.091527,"Shark"
"255",0.085446,"Shark"
"256",0.078419,"Shark"
"257",0.090326,"Shark"
"258",0.083748,"Shark"
"259",0.087681,"Shark"
"260",0.090342,"Shark"
"261",0.087957,"Shark"
"262",0.08708,"Shark"
"263",0.091608,"Shark"
"264",0.084528,"Shark"
"265",0.08934,"Shark"
"266",0.090209,"Shark"
"267",0.095189,"Shark"
"268",0.087025,"Shark"
"269",0.092342,"Shark"
"270",0.08499,"Shark"
"271",0.08353,"Shark"
"272",0.093353,"Shark"
"273",0.083286,"Shark"
"274",0.092383,"Shark"
"275",0.085152,"Shark"
"276",0.086005,"Shark"
"277",0.090637,"Shark"
"278",0.088389,"Shark"
"279",0.094886,"Shark"
"280",0.093166,"Shark"
"281",0.083301,"Shark"
"282",0.084914,"Shark"
"283",0.091578,"Shark"
"284",0.082007,"Shark"
"285",0.091492,"Shark"
"286",0.087108,"Shark"
"287",0.087008,"Shark"
"288",0.083847,"Shark"
"289",0.090366,"Shark"
"290",0.081916,"Shark"
"291",0.091446,"Shark"
"292",0.095009,"Shark"
"293",0.083737,"Shark"
"294",0.078675,"Shark"
"295",0.094701,"Shark"
"296",0.086361,"Shark"
"297",0.091161,"Shark"
"298",0.089301,"Shark"
"299",0.093198,"Shark"
"300",0.090108,"Shark"
"301",0.087922,"Shark"
"302",0.088261,"Shark"
"303",0.089153,"Shark"
"304",0.094098,"Shark"
"305",0.092115,"Shark"
"306",0.092172,"Shark"
"307",0.088848,"Shark"
"308",0.098836,"Shark"
"309",0.086438,"Shark"
"310",0.092634,"Shark"
"311",0.090647,"Shark"
"312",0.081145,"Shark"
"313",0.092719,"Shark"
"314",0.079729,"Shark"
"315",0.089656,"Shark"
"316",0.087575,"Shark"
"317",0.090499,"Shark"
"318",0.091339,"Shark"
"319",0.08973,"Shark"
"320",0.084829,"Shark"
"321",0.092117,"Shark"
"322",0.083453,"Shark"
"323",0.096181,"Shark"
"324",0.090805,"Shark"
"325",0.088136,"Shark"
"326",0.091181,"Shark"
"327",0.092678,"Shark"
"328",0.084957,"Shark"
"329",0.08766,"Shark"
"330",0.080987,"Shark"
"331",0.094401,"Shark"
"332",0.087671,"Shark"
"333",0.094002,"Shark"
"334",0.089374,"Shark"
"335",0.084857,"Shark"
"336",0.083522,"Shark"
"337",0.091441,"Shark"
"338",0.091027,"Shark"
"339",0.086575,"Shark"
"340",0.096359,"Shark"
"341",0.089006,"Shark"
"342",0.087849,"Shark"
"343",0.094575,"Shark"
"344",0.098701,"Shark"
"345",0.088641,"Shark"
"346",0.094706,"Shark"
"347",0.089615,"Shark"
"348",0.087211,"Shark"
"349",0.094354,"Shark"
"350",0.07735,"Shark"
"351",0.092295,"Shark"
"352",0.093137,"Shark"
"353",0.094247,"Shark"
"354",0.09066,"Shark"
"355",0.086559,"Shark"
"356",0.073933,"Shark"
"357",0.093189,"Shark"
"358",0.089175,"Shark"
"359",0.090594,"Shark"
"360",0.092885,"Shark"
"361",0.097804,"Shark"
"362",0.092071,"Shark"
"363",0.090094,"Shark"
"364",0.089671,"Shark"
"365",0.091848,"Shark"
"366",0.090163,"Shark"
"367",0.082949,"Shark"
"368",0.085022,"Shark"
"369",0.089832,"Shark"
"370",0.086139,"Shark"
"371",0.086834,"Shark"
"372",0.091837,"Shark"
"373",0.088476,"Shark"
"374",0.09292,"Shark"
"375",0.085731,"Shark"
"376",0.080347,"Shark"
"377",0.09498,"Shark"
"378",0.090899,"Shark"
"379",0.088925,"Shark"
"380",0.091986,"Shark"
