MERGE_SRC,Shape_Leng,Shape_Area,FID_,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3,ID,_count,_sum,_mean
"8433",88.51087584770,5.35008909763,"133",8433,Venezuelan Exclusive Economic Zone,2201,200NM,2201,Venezuela,VEN,Venezuela,0,0,,,,0,0,,,,-65.91423,12.78887,8433,472546,VEN,,,"862","0","0","862","0","0","8433",291118,30337220.6229351,104.209360544299
"26517",1.97605301793,0.00235668756,"74",26517,Curaçaoan Exclusive Economic Zone,19143,200NM,15,Curaçao,CUW,Netherlands,0,0,,,,0,0,,,,-68.97176,13.16246,26517,25401,NLD,,,"528","0","0","531","0","0","26517",6149,606654.145112108,98.6589925373408
"26519",2.14655090035,0.01185485191,"61",26519,Aruban Exclusive Economic Zone,8652,200NM,15,Aruba,ABW,Netherlands,0,0,,,,0,0,,,,-69.67341,13.74138,26519,30015,NLD,,,"528","0","0","533","0","0","26519",4254,773284.743718218,181.778266036252
"8412",6.61321715722,0.09407118310,"59",8412,Anguilla Exclusive Economic Zone,8643,200NM,2208,Anguilla,AIA,United Kingdom,0,0,,,,0,0,,,,-62.54329,20.01803,8412,90164,GBR,,,"826","0","0","660","0","0","8412",471,112939.645831108,239.786933824009
"8413",3.53322184754,0.03924037780,"95",8413,Saint Kitts and Nevis Exclusive Economic Zone,8644,200NM,8644,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,0,0,,,,0,0,,,,-62.90578,16.99022,8413,9502,KNA,,,"659","0","0","659","0","0","8413",1069,208820.979417035,195.342356797975
"8414",8.39527857832,0.24400154553,"60",8414,Antigua and Barbuda Exclusive Economic Zone,8645,200NM,8645,Antigua and Barbuda,ATG,Antigua and Barbuda,0,0,,,,0,0,,,,-60.57064,18.73279,8414,111568,ATG,,,"28","0","0","28","0","0","8414",2859,704466.333016583,246.403054570333
"8415",1.02665485301,0.00642607202,"88",8415,Montserrat Exclusive Economic Zone,8646,200NM,2208,Montserrat,MSR,United Kingdom,0,0,,,,0,0,,,,-62.48384,16.41292,8415,7188,GBR,,,"826","0","0","500","0","0","8415",2626,657357.937047192,250.326708700378
"33177",8.38600833474,0.06017015382,"82",33177,Guadeloupean Exclusive Economic Zone,8654,200NM,17,Guadeloupe,GLP,France,0,0,,,,0,0,,,,-59.85044,16.79880,33177,90705,FRA,,,"250","0","0","312","0","0","33177",3408,722590.935420224,212.02785663739
"48952",3.79693663837,0.07332502942,"93",48952,Saint-Barthélemy Exclusive Economic Zone,19099,200NM,17,Saint-Barthélemy,BLM,France,0,0,,,,0,0,,,,-62.62740,17.93270,48952,4179,FRA,,,"250","0","0","652","0","0","48952",779,182538.354043961,234.323946141156
"8354",63.82641946060,2.07211228542,"166",8354,Omani Exclusive Economic Zone,2251,200NM,2251,Oman,OMN,Oman,0,0,,,,0,0,,,,58.66998,18.94915,8354,556490,OMN,,,"512","0","0","512","0","0","8354",223493,10959478.4487931,49.0372335992319
"8356",165.31586912200,6.31504719840,"167",8356,Saudi Arabian Exclusive Economic Zone,2215,200NM,2215,Saudi Arabia,SAU,Saudi Arabia,0,0,,,,0,0,,,,40.48580,22.45463,8356,224219,SAU,,,"682","0","0","682","0","0","8356",394081,37094764.99624,94.129798179156
