Country,Protein_1961,Protein_1962,Protein_1963,Protein_1964,Protein_1965,Protein_1966,Protein_1967,Protein_1968,Protein_1969,Protein_1970,Protein_1971,Protein_1972,Protein_1973,Protein_1974,Protein_1975,Protein_1976,Protein_1977,Protein_1978,Protein_1979,Protein_1980,Protein_1981,Protein_1982,Protein_1983,Protein_1984,Protein_1985,Protein_1986,Protein_1987,Protein_1988,Protein_1989,Protein_1990,Protein_1991,Protein_1992,Protein_1993,Protein_1994,Protein_1995,Protein_1996,Protein_1997,Protein_1998,Protein_1999,Protein_2000,Protein_2001,Protein_2002,Protein_2003,Protein_2004,Protein_2005,Protein_2006,Protein_2007,Protein_2008,Protein_2009,Protein_2010,Protein_2011,Protein_2012,Protein_2013,ISO3
Afghanistan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,AFG
Africa,2.43,2.42,2.5700000000000003,2.7199999999999998,2.75,2.85,2.88,2.62,2.67,3.05,3.2899999999999996,3.42,3.4099999999999997,3.5,3.73,3.9,3.89,4.13,4.11,4.09,4.54,4.45,4.08,3.8,3.7,3.8499999999999996,4.14,4.09,4.07,4.18,3.64,3.77,3.69,3.4499999999999997,3.6,3.77,3.92,3.91,4.07,3.96,4.15,3.93,4.13,4.5,4.5,4.890000000000001,5.1899999999999995,4.89,4.76,4.92,5.17,5.2,5.07,NA
Albania,0.91,0.77,0.81,0.78,1,0.98,1.2,1.4100000000000001,1.5899999999999999,1.78,1.73,1.6800000000000002,1.65,1.69,1.65,1.6,1.5699999999999998,1.6400000000000001,1.6,1.5499999999999998,1.5699999999999998,1.43,1.49,1.13,1.85,1.44,1.62,1.6,1.19,0.9,0.23,0.27,0.24,0.18,0.38,0.57,0.54,0.92,1.44,1.7,1.73,2.44,2.2,2.52,2.6,2.32,2.7,2.9,3.08,3.11,3.2199999999999998,2.66,2.5,ALB
Algeria,2.01,1.18,0.87,0.98,0.88,1.01,0.88,0.71,0.92,0.95,0.89,1.11,1.12,1.32,1.39,1.24,1.47,1.17,1.34,1.57,1.86,2.08,2.1,2.03,2.17,2.32,2.8,2.96,2.66,2.29,1.94,2.27,2.38,3.13,2.59,1.9,2.08,2.12,2.33,2.48,2.92,2.92,3.23,2.72,2.89,3.36,3.31,2.97,2.9899999999999998,2.35,2.46,2.39,2.35,DZA
Americas,4.03,4.21,4.2,4.2,4.17,4.49,4.279999999999999,4.5200000000000005,4.38,4.72,4.59,4.96,5.41,4.96,4.68,4.95,4.96,5.38,5.64,5.55,5.68,5.359999999999999,5.29,5.5,5.59,5.8999999999999995,6.24,5.8,6.33,6.2700000000000005,5.91,6.01,6.3500000000000005,6.27,6.42,6.47,6.55,6.32,6.19,6.16,6.1899999999999995,6.28,6.5600000000000005,6.67,6.55,6.74,6.66,6.64,6.47,6.390000000000001,6.390000000000001,6.35,6.32,NA
Angola,4.12,5.05,4.33,6.47,6.26,6.470000000000001,8,8.6,7.54,8.66,6.3,3.43,3.15,4.2,2.28,5.94,8.55,8.07,6.81,6.680000000000001,7.31,13.57,13.35,14.96,16.34,16.16,15.29,15.59,14.13,11.790000000000001,6.89,6.33,6.63,6.42,6.1,6.48,5.67,4.62,6.79,6.8999999999999995,8.23,8.25,6.74,6.78,6.07,7.06,8.15,8.46,8.16,8.18,8.24,7.989999999999999,7.75,AGO
Antigua and Barbuda,23.82,23.66,23.26,23.64,24.18,23.790000000000003,20.56,16.64,22.68,19.7,19.4,21.64,23.82,21.74,25.87,26.68,25.93,22.09,25,27.26,23.330000000000002,19.76,20.24,24.48,32.370000000000005,33.88,30.04,28.110000000000003,31.52,19.55,17.17,29.169999999999998,22.73,21.38,21.16,20.02,22.72,19.689999999999998,20.89,21.72,21.919999999999998,22.93,26.44,26.43,28.05,29.21,28.13,28.62,27.87,26.57,26.279999999999998,26,25.68,ATG
Argentina,2.1,1.95,2.38,3.09,2.98,2.84,2.26,2.5,2.1599999999999997,2.25,2.83,2.81,2.52,3.0900000000000003,2.23,1.96,2.32,3.5100000000000002,4.02,3.01,3.0700000000000003,2.8899999999999997,2.84,2.44,3.42,2.85,2.77,3.28,2.6,2.85,3.08,4.64,5.1899999999999995,4.7,5.95,6.71,7.22,6.01,5.4,4.19,5.35,3.67,3.77,3.7,4.0200000000000005,5.45,4.87,4.75,3.27,3.68,3.6900000000000004,3.58,4.25,ARG
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.36,0.33999999999999997,0.42,0.2,0.2,0.27,0.32,0.51,0.61,0.52,0.39,0.31,1.31,0.79,0.9600000000000001,1.46,1.48,1.15,1.48,1.45,1.6400000000000001,ARM
Asia,4.1899999999999995,4.5,4.64,4.43,4.87,4.97,5.04,5.28,5.07,5,5.25,5.3,5.36,5.55,5.59,5.58,5.47,5.53,5.34,5.33,5.38,5.5,5.62,5.75,5.79,5.94,6.09,6.1499999999999995,6.34,6.34,6.3,6.34,6.68,7.140000000000001,7.47,7.62,7.4799999999999995,7.5600000000000005,7.69,7.9399999999999995,7.94,7.87,8,8.1,8.17,8.24,8.51,8.81,8.85,8.9,9.01,9.14,9.01,NA
Australia,5.64,4.93,4.08,5.41,5.26,6.04,5.58,5.640000000000001,5.79,5.74,6.1000000000000005,5.49,6.39,7.58,6.24,6.02,6.71,6.11,5.89,6.62,7.6,7.24,6.76,7.87,8.049999999999999,8.17,8.66,8.55,8.36,8.93,8.84,9.42,9.040000000000001,9.02,8.440000000000001,9,8.79,8.709999999999999,8.94,9.33,9.24,9.72,10.780000000000001,12.26,11.07,11.18,11.290000000000001,11.120000000000001,10.71,11.32,11.18,11.42,11.55,AUS
Australia & New Zealand,6.050000000000001,5.59,4.82,5.67,5.53,6.3,5.97,5.8100000000000005,5.81,5.7700000000000005,6.31,5.37,6.29,7.19,6.01,5.92,6.54,6.42,6.01,6.64,7.180000000000001,7.2,6.91,7.829999999999999,7.75,7.8,8.799999999999999,8.25,8.69,9.370000000000001,9.03,9.45,9.23,9.25,9.3,9.18,9.55,9.41,9.450000000000001,9.75,10.1,10.66,11.44,12.87,11.83,11.700000000000001,12.19,11.73,11.34,11.69,11.61,11.51,11.71,NA
