"SharkRay","Feature","mean_ri","min_ri","max_ri","lower_95","upper_95"
"Rays","Sea surface
temperature",0.32358615769307,0.10568157831099,0.631850987205962,0.318237582631538,0.328934732754603
"Rays","CPUE",0.191530562153786,0,0.403926596759859,0.187283534975888,0.195777589331684
"Rays","Shelf
area",0.101312950542979,0,0.320329292122142,0.0979374799767532,0.104688421109204
"Rays","Catch",0.064111602165293,0,0.259122775272006,0.0606876576268031,0.0675355467037829
"Rays","Protein
consumption",0.0558745938563407,0,0.230111450287825,0.0529825689324646,0.0587666187802168
"Rays","Fishing
effort",0.0523219628476954,0,0.293146135695969,0.0489934343423384,0.0556504913530525
"Rays","HDI",0.0437091425040844,0,0.204988497208415,0.0409785418513334,0.0464397431568353
"Rays","SPUE",0.043442262199298,0,0.209290791351606,0.0407688338938128,0.0461156905047832
"Rays","Primary
production",0.0409536121189331,0,0.235297439789145,0.0381212524193755,0.0437859718184908
"Rays","WGI",0.0336693652342111,0,0.267884347080267,0.0310997158453086,0.0362390146231137
"Rays","Coastal
population",0.0280955505828766,0,0.236906377054802,0.0256930468758972,0.0304980542898561
"Rays","GDP",0.0213922381014325,0,0.183373215567137,0.0192565933101331,0.0235278828927319
"Sharks","Sea surface
temperature",0.197578487350288,0.035321689602668,0.425938776653904,0.193851532217259,0.201305442483317
"Sharks","Primary
production",0.152627276917895,0,0.441389192642257,0.14921447705569,0.1560400767801
"Sharks","Shelf
area",0.151875170570692,0,0.387997685469264,0.147701990358247,0.156048350783138
"Sharks","Coastal
population",0.122961370729619,0,0.315079599279902,0.119519882832343,0.126402858626895
"Sharks","GDP",0.113063346585097,0,0.361246111029378,0.10988454572655,0.116242147443643
"Sharks","Protein
consumption",0.0911959407983114,0,0.259204172093869,0.0882168498062633,0.0941750317903595
"Sharks","WGI",0.0782714764126443,0,0.261748809886071,0.0752044007789169,0.0813385520463717
"Sharks","Catch",0.0358772854517084,0,0.186902413304235,0.03369268725902,0.0380618836443968
"Sharks","HDI",0.0351245505857275,0,0.174463496483119,0.0329104029719448,0.0373386981995103
"Sharks","CPUE",0.00942372263285022,0,0.133177903115838,0.00820141263800422,0.0106460326276962
"Sharks","SPUE",0.00815845211907227,0,0.13608782695023,0.00712470623832189,0.00919219799982266
"Sharks","Fishing
effort",0.00384291984609467,0,0.121262038513745,0.0029983347208161,0.00468750497137324
