Year,EEZ,Catch,Effort,CPUE
1950,American Samoa,813.4313072,512805.5159,0.001586237
1950,Andaman & Nicobar Isl. (India),837.712504,2988.673842,0.280295726
1950,Anguilla (UK),165.2303286,3091.902558,0.053439695
1950,Antigua and Barbuda,961.8951479,90298.40971,0.010652404
1950,Australia,2896.152877,11077151.1,0.000261453
1950,Bahamas,1697.933151,3634072.57,0.000467226
1950,Barbados,144.7495392,1313.665866,0.110187486
1950,Belize,2032.792989,24359.97203,0.083448084
1950,Bermuda (UK),356.0328255,219283.2301,0.001623621
1950,Bonaire (Netherlands),27.03311881,6973.340508,0.003876638
1950,Brazil (mainland),1387.319512,10436.21719,0.132933178
1950,British Virgin Isl. (UK),478.6858392,51990.72313,0.009207139
1950,Brunei Darussalam,127.9731114,56927.00943,0.002248021
1950,Cayman Isl. (UK),28.74303758,17098.90915,0.001680987
1950,Chagos Archipelago (UK),31.948,45.17609852,0.707188116
1950,China,2787.866685,28193.12507,0.098884628
1950,Christmas Island,13.76107871,531.9082133,0.025871153
1950,Cocos (Keeling) Islands,54.22722499,3551207.488,1.53E-05
1950,Colombia,1538.9061,81438.33769,0.01889658
1950,Comoros Isl.,4.274572604,227.2602665,0.018809151
1950,Cook Islands,588.332275,1996.649174,0.294659814
1950,Costa Rica (Pacific),229.0652048,802017.3581,0.000285611
1950,Cuba,5642.509289,779069.1091,0.00724263
1950,Curacao (Netherlands),325.64779,767011.0073,0.000424567
1950,Daito Islands,139.4644865,17342465.85,8.04E-06
1950,Dominica,679.6525354,28211.4444,0.024091377
1950,Dominican Republic,8565.086486,1574727.983,0.00543909
1950,Fernando de Noronha (Brazil),23.35298576,799.5840406,0.029206418
1950,Fiji,23295.48967,644469.626,0.036146761
1950,French Polynesia,1569.003864,29739.97646,0.052757401
1950,Grenada,484.1919219,428630.7155,0.001129625
1950,Guadeloupe (France),449.5006049,145253.2554,0.003094599
1950,Guam (USA),450.2995894,262641.964,0.0017145
1950,Hawaii Main Islands (USA),1420.057924,717951.9541,0.001977929
1950,Honduras (Caribbean),491.1198956,36166.73086,0.013579328
1950,Hong Kong,33.08263152,23301.44818,0.001419767
1950,India (mainland),43585.33211,461347.3622,0.094474003
1950,Indonesia,16778.03576,1040050.624,0.016131941
1950,Jamaica,24221.14002,2293203.943,0.01056214
1950,Japan Main Islands,12664.29194,3661590.723,0.003458686
1950,Kiribati,5330.330689,326514.2039,0.016324958
1950,Lord Howe Island,1.527835714,1566.940045,0.000975044
1950,Madagascar,6136.957059,81118.40497,0.075654311
1950,Maldives,1825.809957,186525.8465,0.009788509
1950,Marshall Isl.,542.0251721,384.6305395,1.409209921
1950,Martinique (France),880.3690189,38842.25266,0.022665241
1950,Mauritius,1741.443747,42744.01539,0.04074123
1950,Mayotte (France),94.46895534,6661.285388,0.014181791
1950,Mexico,1385.592812,518328.0958,0.002673196
1950,Micronesia (Federated States of),4772.529869,13495.07289,0.353649803
1950,Mozambique,16321.38228,85660.73033,0.190535175
1950,Myanmar,11873.93563,172239.2985,0.068938597
1950,Nauru,17.40024,40.88160806,0.425625136
1950,New Caledonia (France),1246.665723,492931.3558,0.002529086
1950,Nicaragua,2985.984567,24020.75277,0.124308534
1950,Niue (New Zealand),66.43384671,267.0994089,0.248723301
1950,Northern Marianas (USA),127.5222107,23043.58602,0.005533957
1950,Oman,1961.899964,141841.7766,0.013831609
1950,Palau,652.8262203,2494.904228,0.26166384
1950,Panama (Pacific),434.7479477,333848.3911,0.001302232
1950,Papua New Guinea,8719.807558,573591.5239,0.015202121
1950,Philippines,16541.29331,5369880.001,0.003080384
1950,Puerto Rico (USA),2883.639284,348741.0733,0.008268711
1950,Reunion (France),248.8406576,2249.313805,0.110629587
1950,Saba and Sint Eustaius (Netherlands),762.6260903,486084.6095,0.001568916
1950,Saint Kitts & Nevis,905.4178882,23339.51865,0.03879334
1950,Saint Lucia,238.3421482,9868.407056,0.024152039
1950,Saint Vincent and the Grenadines,545.3757305,7344.942531,0.074251872
1950,Samoa,4013.943743,35132.70298,0.114250923
1950,Seychelles,871.6010466,3411.093977,0.255519506
1950,Solomon Isl.,3997.87301,1084144.969,0.003687582
1950,Somalia,1313.540162,13195.36038,0.099545607
1950,South Africa (Indian Ocean),31.31437245,26152.47398,0.001197377
1950,Sri Lanka,14044.63427,107003.6777,0.131253753
1950,St Martin (France),174.0447816,68251.21439,0.002550061
1950,Taiwan,4725.434377,1168712.119,0.004043283
1950,Timor Leste,509.5262583,5323.611116,0.095710646
1950,Tokelau (New Zealand),27.9225,2252089.491,1.24E-05
1950,Tonga,1527.984764,9299.415259,0.164309768
1950,Turks & Caicos Isl. (UK),233.8405286,149.0635321,1.56873063
1950,Tuvalu,158.5705771,3096.985541,0.051201588
1950,US Virgin Isl.,1155.568024,49299.8118,0.023439603
1950,USA,3339.782115,293642.3247,0.01137364
1950,Vanuatu,456.7443634,23164.45751,0.019717464
1950,Venezuela,9620.770137,6120917.61,0.001571786
1950,Vietnam,946.4634023,113606.6199,0.008331059
1950,Wallis & Futuna Isl. (France),314.0631942,89325.21634,0.003515952
1950,Yemen (Arabian Sea),12.49441699,277.5663077,0.04501417
1951,American Samoa,824.0438702,602555.459,0.001367582
1951,Andaman & Nicobar Isl. (India),466.9988986,2959.170765,0.157814109
1951,Anguilla (UK),166.9493091,3056.514696,0.05462081
1951,Antigua and Barbuda,968.1688809,108115.6676,0.008954936
1951,Australia,3683.895835,13671635.01,0.000269455
1951,Bahamas,1822.276045,3805538.365,0.000478848
1951,Barbados,95.18342862,1584.263273,0.060080563
1951,Belize,2077.047616,24773.87975,0.083840224
1951,Bermuda (UK),332.3461698,229803.9484,0.001446216
1951,Bonaire (Netherlands),27.45068016,7662.360827,0.003582536
1951,Brazil (mainland),1297.477926,11857.18908,0.109425423
1951,British Virgin Isl. (UK),487.7706666,62665.66059,0.007783699
1951,Brunei Darussalam,126.4256638,53362.43284,0.002369189
1951,Cayman Isl. (UK),28.97116258,20537.06216,0.001410677
1951,Chagos Archipelago (UK),31.388,43.73890938,0.717621917
1951,China,3082.873396,30814.03638,0.100047698
1951,Christmas Island,14.09007212,495.9449288,0.028410558
1951,Cocos (Keeling) Islands,50.42206344,7149305.732,7.05E-06
1951,Colombia,1537.935334,86258.96878,0.01782928
1951,Comoros Isl.,4.462048125,218.7868741,0.020394496
1951,Cook Islands,585.155496,2039.991622,0.286842107
1951,Costa Rica (Pacific),233.96326,819150.3914,0.000285617
1951,Cuba,5214.043677,1316144.2,0.003961605
1951,Curacao (Netherlands),326.3252387,767507.2809,0.000425175
1951,Daito Islands,140.1030735,12290448.66,1.14E-05
1951,Dominica,706.4642453,28986.99065,0.024371769
1951,Dominican Republic,8646.995732,1561330.879,0.005538221
