Family,Species,SharkorRay,Feeding,FeedOrdinal,Residency,ResOrdinal,ThreatsClimateChange,Status,Threatened,OrdinalStatus,SizeMeasure,MaxSize,GL,Countries,LowerDepth,RangeSize,OceanBasin
Sphyrnidae,Sphyrna_mokarran,Shark,Apex,5,PR,2,no,CR,Y,5,TL,610,24.5,130,300,31445766,B
Carcharhinidae,Galeocerdo_cuvier,Shark,Apex,5,PR,2,no,NT,N,2,TL,500,20,115,1136,14996553.3,B
Sphyrnidae,Sphyrna_lewini,Shark,Apex,5,PR,2,no,CR,Y,5,TL,420,24.1,127,1043,31396803.7,B
Carcharhinidae,Carcharhinus_leucas,Shark,Apex,5,PR,2,Y,VU,Y,3,TL,400,27,112,164,9018499.67,B
Carcharhinidae,Negaprion_brevirostris,Shark,Apex,5,PR,2,no,VU,Y,3,TL,368,16.5,65,92,2165487.27,A
Carcharhinidae,Negaprion_acutidens,Shark,Apex,5,PR,2,Y,EN,Y,4,TL,340,16.5,63,90,5391903.23,P
Mobulidae,Mobula_alfredi,Ray,FilterFeeder,1,PR,2,Y,VU,Y,3,DW,500,29,68,432,24879248.4,P
Rhinobatidae,Rhinobatos_hynnicephalus,Ray,InvertebrateFeeder,2,PR,2,no,EN,Y,4,TL,100,10,5,100,169393.26,P
Rhinobatidae,Rhinobatos_schlegelii,Ray,InvertebrateFeeder,2,PR,2,no,CR,Y,5,TL,100,10,4,230,421823.4709,P
Narcinidae,Narcine_entemedor,Ray,InvertebrateFeeder,2,PR,2,no,VU,Y,3,DW,93,10.5,10,100,160104,P
Dasyatidae,Maculabatis_ambigua,Ray,InvertebrateFeeder,2,PR,2,no,NT,N,2,DW,90,9.5,9,100,182078.966,P
Dasyatidae,Pastinachus_sephen,Ray,InvertebrateFeeder,2,PR,2,no,NT,N,2,DW,89,20,18,60,568409.2,P
Potamotrygonidae,Styracura_pacifica,Ray,InvertebrateFeeder,2,PR,2,no,VU,Y,3,DW,89,15,9,30,23421.6221,P
Trygonorrhinidae,Zapteryx_xyster,Ray,InvertebrateFeeder,2,PR,2,no,VU,Y,3,DW,78,7,10,150,176216.302,P
Rhinobatidae,Acroteriobatus_variegatus,Ray,InvertebrateFeeder,2,PR,2,Y,CR,Y,5,DW,75,5,2,366,163.617168,P
Hypnidae,Hypnos_monopterygius,Ray,InvertebrateFeeder,2,PR,2,no,LC,N,1,DW,62.5,16,1,220,797734.24,P
Urotrygonidae,Urotrygon_chilensis,Ray,InvertebrateFeeder,2,PR,2,no,NT,N,2,DW,43,6.7,11,60,100960.867,P
Torpedinidae,Torpedo_andersoni,Ray,InvertebrateFeeder,2,PR,2,Y,LC,N,1,TL,31,8,5,229,270735.121,A
Narcinidae,Diplobatis_picta,Ray,InvertebrateFeeder,2,PR,2,no,VU,Y,3,DW,18,10.5,7,130,469512.748,A
Heterodontidae,Heterodontus_japonicus,Shark,InvertebrateFeeder,2,PR,2,no,LC,N,1,TL,120,16,5,125,943386.476,P
Heterodontidae,Heterodontus_quoyi,Shark,InvertebrateFeeder,2,PR,2,Y,LC,N,1,TL,105,14,2,40,12741.8668,P
Heterodontidae,Heterodontus_mexicanus,Shark,InvertebrateFeeder,2,PR,2,no,LC,N,1,TL,70,11,10,250,89389.1081,P
Pentanchidae,Haploblepharus_kistnasamyi,Shark,InvertebrateFeeder,2,PR,2,no,VU,Y,3,TL,50,15,1,50,1427.95483,P
Aetobatidae,Aetobatus_laticeps,Ray,LargeInvertebrateFeeder,3,PR,2,no,VU,Y,3,DW,230,14.5,9,100,129590.405,P
Dasyatidae,Pastinachus_ater,Ray,LargeInvertebrateFeeder,3,PR,2,Y,VU,Y,3,DW,200,25,29,60,3821127.4,P
Dasyatidae,Pateobatis_fai,Ray,LargeInvertebrateFeeder,3,PR,2,no,VU,Y,3,DW,186,20,14,200,3465257.98,P
Dasyatidae,Hypanus_longus,Ray,LargeInvertebrateFeeder,3,PR,2,no,VU,Y,3,DW,180,28,9,118,118771.52,P
Potamotrygonidae,Styracura_schmardae,Ray,LargeInvertebrateFeeder,3,PR,2,Y,EN,Y,4,DW,180,25,40,50,1073406.78,A
Dasyatidae,Himantura_uarnak,Ray,LargeInvertebrateFeeder,3,PR,2,Y,EN,Y,4,DW,160,25,36,45,2445016.41,P
Dasyatidae,Hypanus_americanus,Ray,LargeInvertebrateFeeder,3,PR,2,no,NT,N,2,DW,150,11.3,43,100,1233624.18,A
Dasyatidae,Hypanus_berthalutzae,Ray,LargeInvertebrateFeeder,3,PR,2,Y,VU,Y,3,DW,150,11.3,1,100,325416.611,A
Dasyatidae,Pateobatis_jenkinsii,Ray,LargeInvertebrateFeeder,3,PR,2,no,VU,Y,3,DW,150,20,16,90,3592251.99,P
Dasyatidae,Urogymnus_granulatus,Ray,LargeInvertebrateFeeder,3,PR,2,no,VU,Y,3,DW,141,20,16,85,3797441.31,P
Dasyatidae,Himantura_leoparda,Ray,LargeInvertebrateFeeder,3,PR,2,no,VU,Y,3,DW,140,19,10,70,2865996.7,P
Dasyatidae,Himantura_undulata,Ray,LargeInvertebrateFeeder,3,PR,2,no,EN,Y,4,DW,130,25,12,70,1982776.08,P
Dasyatidae,Urogymnus_asperrimus,Ray,LargeInvertebrateFeeder,3,PR,2,Y,VU,Y,3,DW,115,21.5,30,30,5628228.26,P
Rhinidae,Rhynchobatus_djiddensis,Ray,Mesopredator,4,PR,2,no,CR,Y,5,DW,310,15,19,70,1893987.11,P
Rhinidae,Rhynchobatus_australiae,Ray,Mesopredator,4,PR,2,no,CR,Y,5,DW,300,15,38,60,13636576.7,P
Glaucostegidae,Glaucostegus_typus,Ray,Mesopredator,4,PR,2,no,CR,Y,5,TL,270,15,17,100,9468112.79,P
Rhinidae,Rhina_ancylostoma,Ray,Mesopredator,4,PR,2,no,CR,Y,5,TL,270,15,46,70,13863287.1,P
Rhinidae,Rhynchobatus_laevis,Ray,Mesopredator,4,PR,2,no,CR,Y,5,TL,200,15,15,60,1615317.05,P
Rhinobatidae,Pseudobatos_prahli,Ray,Mesopredator,4,PR,2,no,VU,Y,3,TL,90,5,10,70,63396.0654,P
Odontaspididae,Carcharias_taurus,Shark,Mesopredator,4,PR,2,no,CR,Y,5,TL,325,24.8,65,232,8018523.18,B
Orectolobidae,Orectolobus_maculatus,Shark,Mesopredator,4,PR,2,no,LC,N,1,TL,320,22,1,218,518207.487,P
Orectolobidae,Orectolobus_halei,Shark,Mesopredator,4,PR,2,no,LC,N,1,TL,206,16,1,195,541365.301,P
Sphyrnidae,Sphyrna_tiburo,Shark,Mesopredator,4,PR,2,no,EN,Y,4,TL,150,12,25,90,1879058.2,A
Orectolobidae,Orectolobus_ornatus,Shark,Mesopredator,4,PR,2,no,LC,N,1,TL,120,11,1,100,152908.899,P
Orectolobidae,Orectolobus_japonicus,Shark,Mesopredator,4,PR,2,no,LC,N,1,TL,118,11,7,200,1882438.2,P
Hemigaleidae,Hemigaleus_microstoma,Shark,Mesopredator,4,PR,2,Y,VU,Y,3,TL,114,9,22,170,2021479.43,P
Hemigaleidae,Hemigaleus_australiensis,Shark,Mesopredator,4,PR,2,no,LC,N,1,TL,110,9,2,170,992185.818,P
Carcharhinidae,Loxodon_macrorhinus,Shark,Mesopredator,4,PR,2,Y,NT,N,2,TL,99,5.15,22,120,5219690.79,P
Hemiscyllidae,Hemitriakis_leucoperiptera,Shark,Mesopredator,4,PR,2,no,CR,Y,5,TL,96,8,1,48,64885.3094,P
Urotrygonidae,Urobatis_jamacensis,Ray,InvertebrateFeeder,2,R,1,Y,LC,N,1,DW,76,9.5,41,70,791782.278,A
Dasyatidae,Neotrygon_caeruleopunctata,Ray,InvertebrateFeeder,2,R,1,Y,LC,N,1,DW,47,12,17,100,876267.201,P
Dasyatidae,Neotrygon_trigonoides,Ray,InvertebrateFeeder,2,R,1,no,LC,N,1,DW,47,10,2,50,218646.923,P
Dasyatidae,Neotrygon_annotata,Ray,InvertebrateFeeder,2,R,1,no,NT,N,2,DW,45,8.5,2,62,273393.956,P
Urotrygonidae,Urobatis_maculatus,Ray,InvertebrateFeeder,2,R,1,no,LC,N,1,DW,42,8,1,30,18213.4681,P
Dasyatidae,Neotrygon_orientalis,Ray,InvertebrateFeeder,2,R,1,Y,LC,N,1,DW,38,12,6,100,1421028.07,P
Urotrygonidae,Urobatis_concentricus,Ray,InvertebrateFeeder,2,R,1,no,LC,N,1,DW,38,3.5,1,109,57050.7647,P
Dasyatidae,Neotrygon_australiae,Ray,InvertebrateFeeder,2,R,1,no,NT,N,2,DW,38,8,4,90,1258145.75,P
Urotrygonidae,Urobatis_halleri,Ray,InvertebrateFeeder,2,R,1,no,LC,N,1,DW,33.3,8.9,8,91,149018.355,P
Dasyatidae,Neotrygon_varidens,Ray,InvertebrateFeeder,2,R,1,Y,LC,N,1,DW,33,11,7,100,1423550.12,P
Dasyatidae,Neotrygon_picta,Ray,InvertebrateFeeder,2,R,1,no,LC,N,1,DW,32,10.8,2,100,566554.124,P
Dasyatidae,Hypanus_marianae,Ray,InvertebrateFeeder,2,R,1,no,EN,Y,4,DW,31,10,1,30,107815.501,A
Dasyatidae,Neotrygon_leylandi,Ray,InvertebrateFeeder,2,R,1,no,LC,N,1,DW,27,10.8,1,200,105690.301,P
