location_name,spueshark,spueray,spuetotal
American Samoa,0.355924241,0.023212451,0.379136692
Antigua and Barbuda,0.694444444,0.041666667,0.736111111
Australia-Indian Ocean,1.264441918,0.109731757,1.374173675
Bahamas,0.631111457,0.088117449,0.719228906
Barbados,0.181200201,0.395345893,0.576546094
Belize,0.554194355,0.278423002,0.832617357
Bermuda,0.042735043,0,0.042735043
Brazil,0.296300108,0.135804216,0.432104324
British West Indies,0.107249975,0.29493743,0.402187405
Colombia,0.490603102,0.08510462,0.575707722
Cook Islands,2.954127698,0,2.954127698
Cuba,0.482637237,0.011583294,0.494220531
Dominican Republic,0.004968959,0.10434813,0.109317089
Dutch Caribbean,0.120747707,0.048763497,0.169511204
Federated States of Micronesia,2.023189169,0.004046378,2.027235547
Fiji,0.440389464,0.010066045,0.450455509
French Polynesia,2.169921676,0.013172049,2.183093725
French West Indies,0.017297429,0.090811502,0.108108931
Guam,0.185185185,0.005787037,0.190972222
India,0,0,0
Indonesia,0.285620328,0.450018075,0.735638403
Jamaica,0.247730246,0.241688045,0.489418291
Japan,0.10940422,0.145872293,0.255276513
Kenya,0.019794396,0.079177584,0.09897198
Kiribati,0.978430421,0,0.978430421
Madagascar,0.175404998,0.075464941,0.250869939
Malaysia,0.165323523,0.232955874,0.398279397
Maldives,1.127694859,0.207296849,1.334991708
Mayotte,0.275403609,0,0.275403609
Mozambique,0.800421274,0.173775671,0.974196945
New Caledonia,2.657999107,0.029932422,2.687931529
Niue,2.613013966,0.016030761,2.629044727
Palau,0.997007657,0.060221939,1.057229596
Papua New Guinea,0.826241443,0.181297583,1.007539026
Philippines,0.280458344,0.020193001,0.300651345
Puerto Rico,0.291289261,0.083225503,0.374514764
Qatar,0.015448069,0.061792276,0.077240345
Samoa,0.336017058,0.077542398,0.413559456
Saudi Arabia,0.205470339,0.085612641,0.29108298
Seychelles,1.143500223,0.254111161,1.397611384
Solomon Islands,1.594336821,0.019805426,1.614142247
South Africa,0.531986532,0.141414141,0.673400673
Sri Lanka,0.047057112,0.006722445,0.053779557
Taiwan,0.076998763,0.057749072,0.134747835
Tanzania,0.12846953,0.157018315,0.285487845
Tonga,1.465942234,0,1.465942234
Trinidad and Tobago,0.262114369,0.177104303,0.439218672
Turks and Caicos,0.597910002,0.022144815,0.620054817
USA-Pacific,2.083360257,0.006410339,2.089770596
USA-Western Atlantic,0.328934409,0.145976809,0.474911218
Vanuatu,0.365252535,0.084521248,0.449773783
Vietnam,0,0,0
